"";"ano";"uf";"divisao";"percentual";"vinculos"
"525";1994;"RS";17;0,29919308723553;15739
"508";1994;"RS";18;0,505049224658808;23667
"529";1994;"RS";19;0,325671931754185;264573
"520";1994;"RS";20;0,532408982647159;23512
"513";1994;"RS";21;0,257425039079153;14074
"514";1994;"RS";23;0,0188925081433225;1535
"524";1994;"RS";24;0,111990756590209;23368
"522";1994;"RS";26;0,416440623419613;21751
"527";1994;"RS";27;0,118044822256569;20704
"521";1994;"RS";28;0,163414585928079;50583
"515";1994;"RS";29;0,117010205758312;54773
"516";1994;"RS";31;0,116596451670326;16853
"526";1994;"RS";34;0,0646106894751636;24903
"518";1994;"RS";35;0,136901698404529;1943
"517";1994;"RS";36;0,362093629362544;51031
"530";1994;"SC";1;0,38508769657245;38599
"551";1994;"SC";5;0,485888993414864;6378
"532";1994;"SC";10;0,0119662130455185;4262
"535";1994;"SC";11;0,936170212765957;47
"533";1994;"SC";13;0,706666666666667;75
"534";1994;"SC";14;0,335728444003964;4036
"542";1994;"SC";15;0,210703337874659;70464
"546";1994;"SC";16;0,237071860308932;2978
"548";1994;"SC";17;0,0786843115331342;59923
"531";1994;"SC";18;0,224361075779232;76261
"552";1994;"SC";19;0,65512087340785;15388
"543";1994;"SC";20;0,549138926718268;58009
"536";1994;"SC";21;0,15807621425599;16821
"537";1994;"SC";23;0,0350262697022767;571
"547";1994;"SC";24;0,262945670628183;4712
"545";1994;"SC";26;0,316315670655013;31007
"550";1994;"SC";27;0,0497140032483582;14161
"544";1994;"SC";28;0,210250976756506;15101
"538";1994;"SC";29;0,0697823125469154;35969
"539";1994;"SC";31;0,0593226484879252;13789
"549";1994;"SC";34;0,19979079497908;5736
"541";1994;"SC";35;0,237417943107221;914
"540";1994;"SC";36;0,371304324043432;36563
"553";1994;"SE";1;0,662962441974961;7109
"574";1994;"SE";5;0,857142857142857;14
"555";1994;"SE";10;0;0
"558";1994;"SE";11;0,00805249030718759;3353
"556";1994;"SE";13;0,0284857571214393;667
"557";1994;"SE";14;0,661016949152542;354
"565";1994;"SE";15;0,54205873966353;7014
"569";1994;"SE";16;0,645051194539249;293
"571";1994;"SE";17;0,394633764198982;10212
"554";1994;"SE";18;0,520280235988201;2712
"575";1994;"SE";19;0,0513698630136986;876
"566";1994;"SE";20;0,781512605042017;476
"559";1994;"SE";21;0,835164835164835;91
"560";1994;"SE";23;0;0
"570";1994;"SE";24;0,275949367088608;790
"568";1994;"SE";26;0,574712643678161;2697
"573";1994;"SE";27;0,4875;80
"567";1994;"SE";28;0,594728171334432;607
"561";1994;"SE";29;0,304347826086957;23
"562";1994;"SE";31;0,428571428571429;21
"572";1994;"SE";34;0,547169811320755;53
"564";1994;"SE";35;0,350877192982456;57
"563";1994;"SE";36;0,710280373831776;535
"14445";1994;"SP";1;0,420556325095426;638188
"14466";1994;"SP";5;0,538952366820003;6739
"14447";1994;"SP";10;0,156985871271586;637
"14450";1994;"SP";11;0,374803149606299;1270
"14448";1994;"SP";13;0,107115821347464;2642
"14449";1994;"SP";14;0,13935553590726;20358
"14457";1994;"SP";15;0,0874704282258708;451444
"14461";1994;"SP";16;0,019471488178025;4314
"14463";1994;"SP";17;0,0523610544628216;240274
"14446";1994;"SP";18;0,23316643683961;229883
"14467";1994;"SP";19;0,284483916710202;133990
"14458";1994;"SP";20;0,241193857368269;44997
