date,indicador,valor
2014-09-01,Tít. púb. fed. - TN,-49796097
2014-10-01,Tít. púb. fed. - TN,-5807310
2014-11-01,Tít. púb. fed. - TN,-9555010
2014-12-01,Tít. púb. fed. - TN,43320612
2015-01-01,Tít. púb. fed. - TN,-33785843
2015-02-01,Tít. púb. fed. - TN,-23838257
2015-03-01,Tít. púb. fed. - TN,-30748652
2015-04-01,Tít. púb. fed. - TN,35627023
2015-05-01,Tít. púb. fed. - TN,-22800727
2015-06-01,Tít. púb. fed. - TN,-18859884
2015-07-01,Tít. púb. fed. - TN,-40175127
2015-08-01,Tít. púb. fed. - TN,-6221033
2015-09-01,Tít. púb. fed. - TN,12682628
2015-10-01,Tít. púb. fed. - TN,12997897
2015-11-01,Tít. púb. fed. - TN,10069559
2015-12-01,Tít. púb. fed. - TN,-18963647
2016-01-01,Tít. púb. fed. - TN,-28720869
2016-02-01,Tít. púb. fed. - TN,18811897
2016-03-01,Tít. púb. fed. - TN,34819445
2016-04-01,Tít. púb. fed. - TN,-1188213
2016-05-01,Tít. púb. fed. - TN,-18402897
2016-06-01,Tít. púb. fed. - TN,7551212
2016-07-01,Tít. púb. fed. - TN,-48445780
2016-08-01,Tít. púb. fed. - TN,-5840097
2016-09-01,Tít. púb. fed. - TN,-10645630
2016-10-01,Tít. púb. fed. - TN,35156322
2016-11-01,Tít. púb. fed. - TN,-30241544
2016-12-01,Tít. púb. fed. - TN,79414034
2017-01-01,Tít. púb. fed. - TN,-6429189
2017-02-01,Tít. púb. fed. - TN,-17044322
2017-03-01,Tít. púb. fed. - TN,-23877446
2017-04-01,Tít. púb. fed. - TN,13436280
2017-05-01,Tít. púb. fed. - TN,-39845062
2017-06-01,Tít. púb. fed. - TN,4814989
2017-07-01,Tít. púb. fed. - TN,-32460570
2017-08-01,Tít. púb. fed. - TN,-7201466
2017-09-01,Tít. púb. fed. - TN,16834681
2017-10-01,Tít. púb. fed. - TN,1960349
2017-11-01,Tít. púb. fed. - TN,17769597
2017-12-01,Tít. púb. fed. - TN,45249193
2018-01-01,Tít. púb. fed. - TN,-27650083
2018-02-01,Tít. púb. fed. - TN,-14856705
2018-03-01,Tít. púb. fed. - TN,14280963
2018-04-01,Tít. púb. fed. - TN,-14651352
2018-05-01,Tít. púb. fed. - TN,-31288996
2018-06-01,Tít. púb. fed. - TN,18748507
2018-07-01,Tít. púb. fed. - TN,-338050
2018-08-01,Tít. púb. fed. - TN,31207981
1994-01-01,Setor externo,1248306e3
1994-02-01,Setor externo,1097868e3
1994-03-01,Setor externo,1164318e3
1994-04-01,Setor externo,3038852e3
